"09/01/2025","2500.00","*","","PAYROLL DIRECT DEPOSIT SAMPLE EMPLOYER CO"
"09/01/2025","-1400.00","*","1002","CHECK # 1002"
"09/02/2025","-72.33","*","","PURCHASE AUTHORIZED ON 09/02 TRADER JOES 0845 SACRAMENTO CA S000000000011 CARD 0000"
"09/03/2025","-6.50","*","","PURCHASE AUTHORIZED ON 09/03 STARBUCKS SACRAMENTO CA S000000000012 CARD 0000"
"09/05/2025","-38.00","*","","PURCHASE AUTHORIZED ON 09/05 LYFT RIDE SAN FRANCISCO CA S000000000013 CARD 0000"
"09/07/2025","-14.99","*","","SPOTIFY PREMIUM SUBSCRIPTION 0000000000007 SAMPLE USER"
"09/09/2025","-95.00","*","","SACRAMENTO WATER UTILITY PMT 0000000000008 SAMPLE USER"
"09/11/2025","-180.00","*","","PURCHASE AUTHORIZED ON 09/11 COSTCO WHOLESALE 0056 SACRAMENTO CA S000000000014 CARD 0000"
"09/13/2025","-32.00","*","","PURCHASE AUTHORIZED ON 09/13 VET ANIMAL CLINIC SACRAMENTO CA S000000000015 CARD 0000"
"09/15/2025","150.00","*","","VENMO CASHOUT 250915 000000000000009 SAMPLE USER"
"09/16/2025","-22.50","*","","PURCHASE AUTHORIZED ON 09/16 MCDONALDS SACRAMENTO CA S000000000016 CARD 0000"
"09/18/2025","-120.00","*","","PURCHASE AUTHORIZED ON 09/18 LOWES HOME IMPROVEMENT 0324 SACRAMENTO CA S000000000017 CARD 0000"
"09/19/2025","-36.00","*","","PURCHASE AUTHORIZED ON 09/19 SAMPLE HAIR SALON SACRAMENTO CA S000000000018 CARD 0000"
"09/22/2025","-245.00","*","","SAMPLE AIRLINE TICKET BOOKING 0000000000010 SAMPLE USER"
"09/24/2025","-112.00","*","","PURCHASE AUTHORIZED ON 09/24 HOLIDAY MOTEL SACRAMENTO CA S000000000019 CARD 0000"
"09/26/2025","-22.00","*","","AMAZON.COM PURCHASE 0000000000011 SAMPLE USER"
"09/27/2025","-18.00","*","","PURCHASE AUTHORIZED ON 09/27 SAMPLE PHARMACY RX SACRAMENTO CA S000000000020 CARD 0000"
"09/28/2025","-210.00","*","","CAPITAL ONE CARD PAYMENT 0000000000012 SAMPLE USER"
"09/29/2025","-5.50","*","","PURCHASE AUTHORIZED ON 09/29 DUNKIN DONUTS SACRAMENTO CA S000000000021 CARD 0000"
"09/30/2025","-28.00","*","","PURCHASE AUTHORIZED ON 09/30 DOG FOOD CO ONLINE S000000000022 CARD 0000"
